"","seqid","source","type","start","end","score","strand","phase","attributes","ID"
"31","chr01","SGD","gene",28228,28518,NA,"-",NA,"ID=YAL063C-A;Name=YAL063C-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Putative%20protein%20of%20unknown%20function%3B%20identified%20by%20expression%20profiling%20and%20mass%20spectrometry;dbxref=SGD:S000028813;orf_classification=Uncharacterized","YAL063C-A"
"34","chr01","SGD","gene",29834,34826,NA,"-",NA,"ID=YAL063C;Name=YAL063C;gene=FLO9;Alias=FLO9;Ontology_term=GO:0005537,GO:0000501,GO:0009277,GO:0000128,GO:0016020,GO:0016021;Note=Lectin-like%20protein%20with%20similarity%20to%20Flo1p%2C%20thought%20to%20be%20expressed%20and%20involved%20in%20flocculation;dbxref=SGD:S000000059;orf_classification=Verified","YAL063C"
"37","chr01","SGD","gene",38437,39810,NA,"+",NA,"ID=YAL062W;Name=YAL062W;gene=GDH3;Alias=GDH3,FUN51;Ontology_term=GO:0004352,GO:0006537,GO:0005625,GO:0005634,GO:0005739,GO:0004354,GO:0006520,GO:0016491;Note=NADP(%2B)-dependent%20glutamate%20dehydrogenase%2C%20synthesizes%20glutamate%20from%20ammonia%20and%20alpha-ketoglutarate%3B%20rate%20of%20alpha-ketoglutarate%20utilization%20differs%20from%20Gdh1p%3B%20expression%20regulated%20by%20nitrogen%20and%20carbon%20sources;dbxref=SGD:S000000058;orf_classification=Verified","YAL062W"
"39","chr01","SGD","gene",40318,41571,NA,"+",NA,"ID=YAL061W;Name=YAL061W;gene=BDH2;Alias=BDH2;Ontology_term=GO:0008150,GO:0005634,GO:0005737,GO:0016616,GO:0008270,GO:0016491,GO:0046872;Note=Putative%20medium-chain%20alcohol%20dehydrogenase%20with%20similarity%20to%20BDH1%3B%20transcription%20induced%20by%20constitutively%20active%20PDR1%20and%20PDR3%3B%20BDH2%20is%20an%20essential%20gene;dbxref=SGD:S000000057;orf_classification=Uncharacterized","YAL061W"
"41","chr01","SGD","gene",42025,43173,NA,"+",NA,"ID=YAL060W;Name=YAL060W;gene=BDH1;Alias=BDH1;Ontology_term=GO:0005737,GO:0019650,GO:0000721,GO:0008270,GO:0016491,GO:0046872;Note=NAD-dependent%20(2R%2C3R)-2%2C3-butanediol%20dehydrogenase%2C%20a%20zinc-containing%20medium-chain%20alcohol%20dehydrogenase%2C%20produces%202%2C3-butanediol%20from%20acetoin%20during%20fermentation%20and%20allows%20using%202%2C3-butanediol%20as%20a%20carbon%20source%20during%20aerobic%20growth;dbxref=SGD:S000000056;orf_classification=Verified","YAL060W"
"43","chr01","SGD","gene",43366,43788,NA,"-",NA,"ID=YAL059C-A;Name=YAL059C-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data%3B%20partially%20overlaps%20verified%20gene%20ECM1%2FYAL059W;dbxref=SGD:S000028734;orf_classification=Dubious","YAL059C-A"
"45","chr01","SGD","gene",43379,44017,NA,"+",NA,"ID=YAL059W;Name=YAL059W;gene=ECM1;Alias=ECM1;Ontology_term=GO:0007047,GO:0003674,GO:0005634,GO:0000055,GO:0005654,GO:0005730;Note=Protein%20of%20unknown%20function%2C%20localized%20in%20the%20nucleoplasm%20and%20the%20nucleolus%2C%20genetically%20interacts%20with%20MTR2%20in%2060S%20ribosomal%20protein%20subunit%20export;dbxref=SGD:S000000055;orf_classification=Verified","YAL059W"
"47","chr01","SGD","gene",44334,45842,NA,"+",NA,"ID=YAL058W;Name=YAL058W;gene=CNE1;Alias=CNE1,FUN48;Ontology_term=GO:0030433,GO:0006457,GO:0051082,GO:0030176,GO:0005509,GO:0005529,GO:0005783,GO:0016020,GO:0016021;Note=Calnexin%3B%20integral%20membrane%20ER%20chaperone%20involved%20in%20folding%20and%20quality%20control%20of%20glycoproteins%3B%20chaperone%20activity%20is%20inhibited%20by%20Mpd1p%2C%20with%20which%20Cne1p%20interacts%3B%2024%25%20identical%20to%20mammalian%20calnexin%3B%20Ca%2B%20binding%20not%20yet%20shown%20in%20yeast;dbxref=SGD:S000000054;orf_classification=Verified","YAL058W"
"49","chr01","SGD","gene",45566,45916,NA,"-",NA,"ID=YAL056C-A;Name=YAL056C-A;Alias=YAL058C-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data;dbxref=SGD:S000002139;orf_classification=Dubious","YAL056C-A"
"51","chr01","SGD","gene",46129,48771,NA,"+",NA,"ID=YAL056W;Name=YAL056W;gene=GPB2;Alias=GPB2,KRH1;Ontology_term=GO:0004871,GO:0007165,GO:0005737,GO:0005886,GO:0000723,GO:0004860,GO:0042326,GO:0045944,GO:0030437,GO:0005739,GO:0032794,GO:0046580,GO:0030447,GO:0001403;Note=Proposed%20beta%20subunit%20of%20the%20heterotrimeric%20G%20protein%3B%20interacts%20with%20the%20receptor%20Grp1p%2C%20affects%20signaling%20by%20altering%20the%20level%20of%20phosphorylation%20of%20PKS%20substrates%3B%20regulates%20pseudohyphal%20growth%20through%20cAMP%20levels%3B%20homolog%20of%20Gpb1p;dbxref=SGD:S000000052;orf_classification=Verified","YAL056W"
"54","chr01","SGD","gene",49047,49589,NA,"+",NA,"ID=YAL055W;Name=YAL055W;gene=PEX22;Alias=PEX22,YAF5;Ontology_term=GO:0016562,GO:0043495,GO:0005779,GO:0006625,GO:0005777,GO:0016020,GO:0016021;Note=Putative%20peroxisomal%20membrane%20protein%20required%20for%20import%20of%20peroxisomal%20proteins%2C%20functionally%20complements%20a%20Pichia%20pastoris%20pex22%20mutation;dbxref=SGD:S000000051;orf_classification=Verified","YAL055W"
"56","chr01","SGD","gene",49751,51892,NA,"-",NA,"ID=YAL054C;Name=YAL054C;gene=ACS1;Alias=ACS1,FUN44;Ontology_term=GO:0003987,GO:0019654,GO:0006085,GO:0005829,GO:0005739,GO:0016573,GO:0003824,GO:0005783,GO:0005792,GO:0008152,GO:0016208,GO:0016874;Note=Acetyl-coA%20synthetase%20isoform%20which%2C%20along%20with%20Acs2p%2C%20is%20the%20nuclear%20source%20of%20acetyl-coA%20for%20histone%20acetlyation%3B%20expressed%20during%20growth%20on%20nonfermentable%20carbon%20sources%20and%20under%20aerobic%20conditions;dbxref=SGD:S000000050;orf_classification=Verified","YAL054C"
"58","chr01","SGD","gene",52768,55119,NA,"+",NA,"ID=YAL053W;Name=YAL053W;gene=FLC2;Alias=FLC2,HUF2;Ontology_term=GO:0005737,GO:0005783,GO:0009272,GO:0015883,GO:0006457,GO:0015230,GO:0006810,GO:0016020,GO:0016021;Note=Putative%20FAD%20transporter%3B%20required%20for%20uptake%20of%20FAD%20into%20endoplasmic%20reticulum%3B%20involved%20in%20cell%20wall%20maintenance;dbxref=SGD:S000000049;orf_classification=Verified","YAL053W"
"60","chr01","SGD","gene",55433,58576,NA,"+",NA,"ID=YAL051W;Name=YAL051W;gene=OAF1;Alias=OAF1,YAF1;Ontology_term=GO:0016563,GO:0045941,GO:0003677,GO:0006631,GO:0007031,GO:0005634,GO:0003700,GO:0006350,GO:0006355,GO:0008270,GO:0030435,GO:0046872;Note=Oleate-activated%20transcription%20factor%2C%20acts%20alone%20and%20as%20a%20heterodimer%20with%20Pip2p%3B%20activates%20genes%20involved%20in%20beta-oxidation%20of%20fatty%20acids%20and%20peroxisome%20organization%20and%20biogenesis;dbxref=SGD:S000000048;orf_classification=Verified","YAL051W"
"62","chr01","SGD","gene",58724,59464,NA,"-",NA,"ID=YAL049C;Name=YAL049C;Ontology_term=GO:0008150,GO:0003674,GO:0005737,GO:0016787;Note=Cytoplasmic%20protein%20of%20unknown%20function%2C%20potential%20Hsp82p%20interactor;dbxref=SGD:S000000047;orf_classification=Uncharacterized","YAL049C"
"64","chr01","SGD","gene",59670,61658,NA,"-",NA,"ID=YAL048C;Name=YAL048C;gene=GEM1;Alias=GEM1,GON1;Ontology_term=GO:0016192,GO:0003924,GO:0005741,GO:0005739,GO:0000166,GO:0005509,GO:0005525,GO:0005622,GO:0007264,GO:0016020,GO:0016021,GO:0016787,GO:0019867;Note=Evolutionarily-conserved%20tail-anchored%20outer%20mitochondrial%20membrane%20GTPase%20which%20regulates%20mitochondrial%20morphology%3B%20cells%20lacking%20Gem1p%20contain%20collapsed%2C%20globular%2C%20or%20grape-like%20mitochondria%3B%20not%20required%20for%20pheromone-induced%20cell%20death;dbxref=SGD:S000000046;orf_classification=Verified","YAL048C"
"66","chr01","SGD","gene",61453,61782,NA,"+",NA,"ID=YAL047W-A;Name=YAL047W-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data;dbxref=SGD:S000028733;orf_classification=Dubious","YAL047W-A"
"68","chr01","SGD","gene",61858,63726,NA,"-",NA,"ID=YAL047C;Name=YAL047C;gene=SPC72;Alias=SPC72,LDB4;Ontology_term=GO:0000022,GO:0005200,GO:0007020,GO:0005824,GO:0000070,GO:0030473;Note=Component%20of%20the%20cytoplasmic%20Tub4p%20(gamma-tubulin)%20complex%2C%20binds%20spindle%20pole%20bodies%20and%20links%20them%20to%20microtubules%3B%20has%20roles%20in%20astral%20microtubule%20formation%20and%20stabilization;dbxref=SGD:S000000045;orf_classification=Verified","YAL047C"
"70","chr01","SGD","gene",63898,64254,NA,"-",NA,"ID=YAL046C;Name=YAL046C;Ontology_term=GO:0003674,GO:0008150,GO:0005575;Note=Putative%20protein%20of%20unknown%20function%3B%20YAL046C%20is%20not%20an%20essential%20gene;dbxref=SGD:S000000044;orf_classification=Uncharacterized","YAL046C"
"72","chr01","SGD","gene",64357,64665,NA,"-",NA,"ID=YAL045C;Name=YAL045C;Ontology_term=GO:0003674,GO:0008150,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data%3B%20almost%20completely%20overlaps%20YAL044W-A;dbxref=SGD:S000000043;orf_classification=Dubious","YAL045C"
"74","chr01","SGD","gene",64387,64719,NA,"+",NA,"ID=YAL044W-A;Name=YAL044W-A;Ontology_term=GO:0003674,GO:0005575,GO:0008150;Note=Putative%20protein%20of%20unknown%20function%3B%20similar%20to%20S.%20pombe%20uvi31%20which%20is%20a%20putative%20DNA%20repair%20protein;dbxref=SGD:S000007586;orf_classification=Uncharacterized","YAL044W-A"
"76","chr01","SGD","gene",64819,65331,NA,"-",NA,"ID=YAL044C;Name=YAL044C;gene=GCV3;Alias=GCV3;Ontology_term=GO:0006730,GO:0005739,GO:0004375,GO:0005960,GO:0006546,GO:0000723,GO:0031405;Note=H%20subunit%20of%20the%20mitochondrial%20glycine%20decarboxylase%20complex%2C%20required%20for%20the%20catabolism%20of%20glycine%20to%205%2C10-methylene-THF%3B%20expression%20is%20regulated%20by%20levels%20of%20levels%20of%205%2C10-methylene-THF%20in%20the%20cytoplasm;dbxref=SGD:S000000042;orf_classification=Verified","YAL044C"
"78","chr01","SGD","gene",65564,67921,NA,"-",NA,"ID=YAL043C;Name=YAL043C;gene=PTA1;Alias=PTA1,FUN39;Ontology_term=GO:0005849,GO:0008033,GO:0030846,GO:0030847,GO:0006379,GO:0006378,GO:0005847,GO:0003723,GO:0005634,GO:0006397;Note=Subunit%20of%20holo-CPF%2C%20a%20multiprotein%20complex%20and%20functional%20homolog%20of%20mammalian%20CPSF%2C%20required%20for%20the%20cleavage%20and%20polyadenylation%20of%20mRNA%20and%20snoRNA%203'%20ends%3B%20involved%20in%20pre-tRNA%20processing%3B%20binds%20to%20the%20phosphorylated%20CTD%20of%20RNAPII;dbxref=SGD:S000000041;orf_classification=Verified","YAL043C"
"80","chr01","SGD","gene",68100,68477,NA,"-",NA,"ID=YAL042C-A;Name=YAL042C-A;Alias=YAL043C-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data%3B%20partially%20overlaps%20verified%20ORF%20ERV46%2FYAL042W%3B%20YAL042C-A%20is%20a%20non-essential%20gene;dbxref=SGD:S000002138;orf_classification=Dubious","YAL042C-A"
"82","chr01","SGD","gene",68185,69432,NA,"+",NA,"ID=YAL042W;Name=YAL042W;gene=ERV46;Alias=ERV46,FUN9;Ontology_term=GO:0003674,GO:0006888,GO:0030173,GO:0030176,GO:0030134,GO:0005783,GO:0006810,GO:0015031,GO:0016020,GO:0016021;Note=Protein%20localized%20to%20COPII-coated%20vesicles%2C%20forms%20a%20complex%20with%20Erv41p%3B%20involved%20in%20the%20membrane%20fusion%20stage%20of%20transport;dbxref=SGD:S000000040;orf_classification=Verified","YAL042W"
"84","chr01","SGD","gene",69709,72273,NA,"+",NA,"ID=YAL041W;Name=YAL041W;gene=CDC24;Alias=CDC24,CLS4;Ontology_term=GO:0005089,GO:0007264,GO:0006033,GO:0007118,GO:0007124,GO:0007119,GO:0005634,GO:0000131,GO:0043332,GO:0005935,GO:0001403,GO:0000750,GO:0000753,GO:0030010,GO:0007096,GO:0005085,GO:0005622,GO:0007242,GO:0035023;Note=Guanine%20nucleotide%20exchange%20factor%20(GEF%20or%20GDP-release%20factor)%20for%20Cdc42p%3B%20required%20for%20polarity%20establishment%20and%20maintenance%2C%20and%20mutants%20have%20morphological%20defects%20in%20bud%20formation%20and%20shmooing;dbxref=SGD:S000000039;orf_classification=Verified","YAL041W"
"87","chr01","SGD","gene",72647,74389,NA,"-",NA,"ID=YAL040C;Name=YAL040C;gene=CLN3;Alias=CLN3,WHI1,FUN10,DAF1;Ontology_term=GO:0000079,GO:0016538,GO:0005634,GO:0000082,GO:0007033,GO:0042144,GO:0008361,GO:0000074,GO:0007049,GO:0051301;Note=G1%20cyclin%20involved%20in%20cell%20cycle%20progression%3B%20activates%20Cdc28p%20kinase%20to%20promote%20the%20G1%20to%20S%20phase%20transition%3B%20plays%20a%20role%20in%20regulating%20transcription%20of%20the%20other%20G1%20cyclins%2C%20CLN1%20and%20CLN2%3B%20regulated%20by%20phosphorylation%20and%20proteolysis;dbxref=SGD:S000000038;orf_classification=Verified","YAL040C"
"89","chr01","SGD","gene",75585,76394,NA,"-",NA,"ID=YAL039C;Name=YAL039C;gene=CYC3;Alias=CYC3;Ontology_term=GO:0004408,GO:0018063,GO:0005758,GO:0005739,GO:0005506,GO:0016829,GO:0046872;Note=Cytochrome%20c%20heme%20lyase%20(holocytochrome%20c%20synthase)%2C%20attaches%20heme%20to%20apo-cytochrome%20c%20(Cyc1p%20or%20Cyc7p)%20in%20the%20mitochondrial%20intermembrane%20space%3B%20human%20ortholog%20may%20have%20a%20role%20in%20microphthalmia%20with%20linear%20skin%20defects%20(MLS);dbxref=SGD:S000000037;orf_classification=Verified","YAL039C"
"92","chr01","SGD","gene",78655,80157,NA,"+",NA,"ID=YAL038W;Name=YAL038W;gene=CDC19;Alias=CDC19,PYK1;Ontology_term=GO:0004743,GO:0005829,GO:0006096,GO:0006090,GO:0000287,GO:0003824,GO:0016301,GO:0016740,GO:0030955,GO:0046872;Note=Pyruvate%20kinase%2C%20functions%20as%20a%20homotetramer%20in%20glycolysis%20to%20convert%20phosphoenolpyruvate%20to%20pyruvate%2C%20the%20input%20for%20aerobic%20(TCA%20cycle)%20or%20anaerobic%20(glucose%20fermentation)%20respiration;dbxref=SGD:S000000036;orf_classification=Verified","YAL038W"
"94","chr01","SGD","gene",79195,80169,NA,"-",NA,"ID=YAL037C-B;Name=YAL037C-B;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%3B%20identified%20by%20gene-trapping%2C%20microarray-based%20expression%20analysis%2C%20and%20genome-wide%20homology%20searching;dbxref=SGD:S000028592;orf_classification=Dubious","YAL037C-B"
"96","chr01","SGD","gene",80295,80387,NA,"-",NA,"ID=YAL037C-A;Name=YAL037C-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Putative%20protein%20of%20unknown%20function;dbxref=SGD:S000028732;orf_classification=Uncharacterized","YAL037C-A"
"98","chr01","SGD","gene",80889,81692,NA,"+",NA,"ID=YAL037W;Name=YAL037W;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Putative%20protein%20of%20unknown%20function;dbxref=SGD:S000000035;orf_classification=Uncharacterized","YAL037W"
"100","chr01","SGD","gene",81912,83021,NA,"-",NA,"ID=YAL036C;Name=YAL036C;gene=RBG1;Alias=RBG1,FUN11;Ontology_term=GO:0005737,GO:0005525,GO:0042254,GO:0000166,GO:0005622;Note=Member%20of%20the%20DRG%20family%20of%20GTP-binding%20proteins%3B%20interacts%20with%20translating%20ribosomes%20and%20with%20Tma46p;dbxref=SGD:S000000034;orf_classification=Verified","YAL036C"
"102","chr01","SGD","gene",83296,86304,NA,"+",NA,"ID=YAL035W;Name=YAL035W;gene=FUN12;Alias=FUN12,yIF2;Ontology_term=GO:0006413,GO:0003743,GO:0005843,GO:0003924,GO:0005739,GO:0000166,GO:0005525,GO:0005622,GO:0006412;Note=GTPase%2C%20required%20for%20general%20translation%20initiation%20by%20promoting%20Met-tRNAiMet%20binding%20to%20ribosomes%20and%20ribosomal%20subunit%20joining%3B%20homolog%20of%20bacterial%20IF2;dbxref=SGD:S000000033;orf_classification=Verified","YAL035W"
"104","chr01","SGD","gene",86358,86711,NA,"-",NA,"ID=YAL034C-B;Name=YAL034C-B;Alias=YAL035C-A;Ontology_term=GO:0003674,GO:0008150,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data;dbxref=SGD:S000002137;orf_classification=Dubious","YAL034C-B"
"106","chr01","SGD","gene",86587,87456,NA,"+",NA,"ID=YAL034W-A;Name=YAL034W-A;gene=MTW1;Alias=MTW1,NSL2,DSN3;Ontology_term=GO:0003674,GO:0007059,GO:0000922,GO:0000818,GO:0000775,GO:0005634,GO:0007049,GO:0007067,GO:0051301;Note=Essential%20component%20of%20the%20MIND%20kinetochore%20complex%20(Mtw1p%20Including%20Nnf1p-Nsl1p-Dsn1p)%20which%20joins%20kinetochore%20subunits%20contacting%20DNA%20to%20those%20contacting%20microtubules%3B%20critical%20to%20kinetochore%20assembly;dbxref=SGD:S000000032;orf_classification=Verified","YAL034W-A"
"108","chr01","SGD","gene",87579,88820,NA,"-",NA,"ID=YAL034C;Name=YAL034C;gene=FUN19;Alias=FUN19;Ontology_term=GO:0003674,GO:0008150,GO:0005575;Note=Non-essential%20protein%20of%20unknown%20function;dbxref=SGD:S000002134;orf_classification=Verified","YAL034C"
"110","chr01","SGD","gene",89575,90096,NA,"+",NA,"ID=YAL033W;Name=YAL033W;gene=POP5;Alias=POP5,FUN53;Ontology_term=GO:0006364,GO:0000172,GO:0005655,GO:0008033,GO:0004526,GO:0000171,GO:0006379,GO:0004540,GO:0005634,GO:0016787;Note=Subunit%20of%20both%20RNase%20MRP%2C%20which%20cleaves%20pre-rRNA%2C%20and%20nuclear%20RNase%20P%2C%20which%20cleaves%20tRNA%20precursors%20to%20generate%20mature%205'%20ends;dbxref=SGD:S000000031;orf_classification=Verified","YAL033W"
"112","chr01","SGD","gene",90204,91343,NA,"-",NA,"ID=YAL032C;Name=YAL032C;gene=PRP45;Alias=PRP45,FUN20;Ontology_term=GO:0016563,GO:0005634,GO:0045944,GO:0000398,GO:0005681,GO:0006397,GO:0008380;Note=Protein%20required%20for%20pre-mRNA%20splicing%3B%20associates%20with%20the%20spliceosome%20and%20interacts%20with%20splicing%20factors%20Prp22p%20and%20Prp46p%3B%20orthologous%20to%20human%20transcriptional%20coactivator%20SKIP%20and%20can%20activate%20transcription%20of%20a%20reporter%20gene;dbxref=SGD:S000000030;orf_classification=Verified","YAL032C"
"114","chr01","SGD","gene",91538,91846,NA,"+",NA,"ID=YAL031W-A;Name=YAL031W-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data;dbxref=SGD:S000028731;orf_classification=Dubious","YAL031W-A"
"116","chr01","SGD","gene",91618,93900,NA,"-",NA,"ID=YAL031C;Name=YAL031C;gene=GIP4;Alias=GIP4,FUN21;Ontology_term=GO:0007059,GO:0008599,GO:0008157,GO:0043666,GO:0005737;Note=Cytoplasmic%20Glc7-interacting%20protein%20whose%20overexpression%20relocalizes%20Glc7p%20from%20the%20nucleus%20and%20prevents%20chromosome%20segregation%3B%20potential%20Cdc28p%20substrate;dbxref=SGD:S000000029;orf_classification=Verified","YAL031C"
"118","chr01","SGD","gene",94155,94621,NA,"+",NA,"ID=YAL030W;Name=YAL030W;gene=SNC1;Alias=SNC1;Ontology_term=GO:0005484,GO:0006906,GO:0006893,GO:0006897,GO:0005802,GO:0005768,GO:0030133,GO:0031201,GO:0016020,GO:0016021,GO:0016192;Note=Vesicle%20membrane%20receptor%20protein%20(v-SNARE)%20involved%20in%20the%20fusion%20between%20Golgi-derived%20secretory%20vesicles%20with%20the%20plasma%20membrane%3B%20proposed%20to%20be%20involved%20in%20endocytosis%3B%20member%20of%20the%20synaptobrevin%2FVAMP%20family%20of%20R-type%20v-SNARE%20proteins;dbxref=SGD:S000000028;orf_classification=Verified","YAL030W"
"122","chr01","SGD","gene",94724,99138,NA,"-",NA,"ID=YAL029C;Name=YAL029C;gene=MYO4;Alias=MYO4,SHE1,FUN22;Ontology_term=GO:0048309,GO:0000146,GO:0031941,GO:0051015,GO:0031475,GO:0005933,GO:0008298,GO:0007534,GO:0005739,GO:0000166,GO:0003774,GO:0003779,GO:0005516,GO:0005524,GO:0016459;Note=One%20of%20two%20type%20V%20myosin%20motors%20(along%20with%20MYO2)%20involved%20in%20actin-based%20transport%20of%20cargos%3B%20required%20for%20mRNA%20transport%2C%20including%20ASH1%20mRNA%2C%20and%20facilitating%20the%20growth%20and%20movement%20of%20ER%20tubules%20into%20the%20growing%20bud%20along%20with%20She3p;dbxref=SGD:S000000027;orf_classification=Verified","YAL029C"
"124","chr01","SGD","gene",99768,101354,NA,"+",NA,"ID=YAL028W;Name=YAL028W;gene=FRT2;Alias=FRT2,HPH2;Ontology_term=GO:0003674,GO:0006950,GO:0005783,GO:0016020,GO:0016021;Note=Tail-anchored%20endoplasmic%20reticulum%20membrane%20protein%2C%20interacts%20with%20homolog%20Frt1p%20but%20is%20not%20a%20substrate%20of%20calcineurin%20(unlike%20Frt1p)%2C%20promotes%20growth%20in%20conditions%20of%20high%20Na%2B%2C%20alkaline%20pH%2C%20or%20cell%20wall%20stress%3B%20potential%20Cdc28p%20substrate;dbxref=SGD:S000000026;orf_classification=Verified","YAL028W"
"126","chr01","SGD","gene",101555,102340,NA,"+",NA,"ID=YAL027W;Name=YAL027W;Ontology_term=GO:0003674,GO:0008150,GO:0005634;Note=Putative%20protein%20of%20unknown%20function%3B%20green%20fluorescent%20protein%20(GFP)-fusion%20protein%20localizes%20to%20the%20nucleus%3B%20YAL027W%20is%20a%20non-essential%20gene;dbxref=SGD:S000000025;orf_classification=Uncharacterized","YAL027W"
"128","chr01","SGD","gene",102254,102691,NA,"-",NA,"ID=YAL026C-A;Name=YAL026C-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data%3B%20partially%20overlaps%20the%20uncharacterized%20ORF%20YAL027W%20and%20the%20verified%20gene%20DRS2;dbxref=SGD:S000028730;orf_classification=Dubious","YAL026C-A"
