"","seqid","source","type","start","end","score","strand","phase","attributes","ID"
"22","chr01","SGD","gene",21292,23643,NA,"+",NA,"ID=YAL053W;Name=YAL053W;gene=FLC2;Alias=FLC2,HUF2;Ontology_term=GO:0005737,GO:0005783,GO:0009272,GO:0015883,GO:0006457,GO:0015230,GO:0006810,GO:0016020,GO:0016021;Note=Putative%20FAD%20transporter%3B%20required%20for%20uptake%20of%20FAD%20into%20endoplasmic%20reticulum%3B%20involved%20in%20cell%20wall%20maintenance;dbxref=SGD:S000000049;orf_classification=Verified","YAL053W"
"24","chr01","SGD","gene",23957,27100,NA,"+",NA,"ID=YAL051W;Name=YAL051W;gene=OAF1;Alias=OAF1,YAF1;Ontology_term=GO:0016563,GO:0045941,GO:0003677,GO:0006631,GO:0007031,GO:0005634,GO:0003700,GO:0006350,GO:0006355,GO:0008270,GO:0030435,GO:0046872;Note=Oleate-activated%20transcription%20factor%2C%20acts%20alone%20and%20as%20a%20heterodimer%20with%20Pip2p%3B%20activates%20genes%20involved%20in%20beta-oxidation%20of%20fatty%20acids%20and%20peroxisome%20organization%20and%20biogenesis;dbxref=SGD:S000000048;orf_classification=Verified","YAL051W"
"26","chr01","SGD","gene",27246,27986,NA,"-",NA,"ID=YAL049C;Name=YAL049C;Ontology_term=GO:0008150,GO:0003674,GO:0005737,GO:0016787;Note=Cytoplasmic%20protein%20of%20unknown%20function%2C%20potential%20Hsp82p%20interactor;dbxref=SGD:S000000047;orf_classification=Uncharacterized","YAL049C"
"28","chr01","SGD","gene",28192,30180,NA,"-",NA,"ID=YAL048C;Name=YAL048C;gene=GEM1;Alias=GEM1,GON1;Ontology_term=GO:0016192,GO:0003924,GO:0005741,GO:0005739,GO:0000166,GO:0005509,GO:0005525,GO:0005622,GO:0007264,GO:0016020,GO:0016021,GO:0016787,GO:0019867;Note=Evolutionarily-conserved%20tail-anchored%20outer%20mitochondrial%20membrane%20GTPase%20which%20regulates%20mitochondrial%20morphology%3B%20cells%20lacking%20Gem1p%20contain%20collapsed%2C%20globular%2C%20or%20grape-like%20mitochondria%3B%20not%20required%20for%20pheromone-induced%20cell%20death;dbxref=SGD:S000000046;orf_classification=Verified","YAL048C"
"30","chr01","SGD","gene",29975,30306,NA,"+",NA,"ID=YAL047W-A;Name=YAL047W-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data;dbxref=SGD:S000028733;orf_classification=Dubious","YAL047W-A"
"32","chr01","SGD","gene",30382,32229,NA,"-",NA,"ID=YAL047C;Name=YAL047C;gene=SPC72;Alias=SPC72,LDB4;Ontology_term=GO:0000022,GO:0005200,GO:0007020,GO:0005824,GO:0000070,GO:0030473;Note=Component%20of%20the%20cytoplasmic%20Tub4p%20(gamma-tubulin)%20complex%2C%20binds%20spindle%20pole%20bodies%20and%20links%20them%20to%20microtubules%3B%20has%20roles%20in%20astral%20microtubule%20formation%20and%20stabilization;dbxref=SGD:S000000045;orf_classification=Verified","YAL047C"
"34","chr01","SGD","gene",32403,32759,NA,"-",NA,"ID=YAL046C;Name=YAL046C;Ontology_term=GO:0003674,GO:0008150,GO:0005575;Note=Putative%20protein%20of%20unknown%20function%3B%20YAL046C%20is%20not%20an%20essential%20gene;dbxref=SGD:S000000044;orf_classification=Uncharacterized","YAL046C"
"36","chr01","SGD","gene",32862,33170,NA,"-",NA,"ID=YAL045C;Name=YAL045C;Ontology_term=GO:0003674,GO:0008150,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data%3B%20almost%20completely%20overlaps%20YAL044W-A;dbxref=SGD:S000000043;orf_classification=Dubious","YAL045C"
"38","chr01","SGD","gene",32892,33224,NA,"+",NA,"ID=YAL044W-A;Name=YAL044W-A;Ontology_term=GO:0003674,GO:0005575,GO:0008150;Note=Putative%20protein%20of%20unknown%20function%3B%20similar%20to%20S.%20pombe%20uvi31%20which%20is%20a%20putative%20DNA%20repair%20protein;dbxref=SGD:S000007586;orf_classification=Uncharacterized","YAL044W-A"
"40","chr01","SGD","gene",33310,33820,NA,"-",NA,"ID=YAL044C;Name=YAL044C;gene=GCV3;Alias=GCV3;Ontology_term=GO:0006730,GO:0005739,GO:0004375,GO:0005960,GO:0006546,GO:0000723,GO:0031405;Note=H%20subunit%20of%20the%20mitochondrial%20glycine%20decarboxylase%20complex%2C%20required%20for%20the%20catabolism%20of%20glycine%20to%205%2C10-methylene-THF%3B%20expression%20is%20regulated%20by%20levels%20of%20levels%20of%205%2C10-methylene-THF%20in%20the%20cytoplasm;dbxref=SGD:S000000042;orf_classification=Verified","YAL044C"
"42","chr01","SGD","gene",34054,36411,NA,"-",NA,"ID=YAL043C;Name=YAL043C;gene=PTA1;Alias=PTA1,FUN39;Ontology_term=GO:0005849,GO:0008033,GO:0030846,GO:0030847,GO:0006379,GO:0006378,GO:0005847,GO:0003723,GO:0005634,GO:0006397;Note=Subunit%20of%20holo-CPF%2C%20a%20multiprotein%20complex%20and%20functional%20homolog%20of%20mammalian%20CPSF%2C%20required%20for%20the%20cleavage%20and%20polyadenylation%20of%20mRNA%20and%20snoRNA%203'%20ends%3B%20involved%20in%20pre-tRNA%20processing%3B%20binds%20to%20the%20phosphorylated%20CTD%20of%20RNAPII;dbxref=SGD:S000000041;orf_classification=Verified","YAL043C"
"44","chr01","SGD","gene",36589,36964,NA,"-",NA,"ID=YAL042C-A;Name=YAL042C-A;Alias=YAL043C-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data%3B%20partially%20overlaps%20verified%20ORF%20ERV46%2FYAL042W%3B%20YAL042C-A%20is%20a%20non-essential%20gene;dbxref=SGD:S000002138;orf_classification=Dubious","YAL042C-A"
"46","chr01","SGD","gene",36672,37919,NA,"+",NA,"ID=YAL042W;Name=YAL042W;gene=ERV46;Alias=ERV46,FUN9;Ontology_term=GO:0003674,GO:0006888,GO:0030173,GO:0030176,GO:0030134,GO:0005783,GO:0006810,GO:0015031,GO:0016020,GO:0016021;Note=Protein%20localized%20to%20COPII-coated%20vesicles%2C%20forms%20a%20complex%20with%20Erv41p%3B%20involved%20in%20the%20membrane%20fusion%20stage%20of%20transport;dbxref=SGD:S000000040;orf_classification=Verified","YAL042W"
"48","chr01","SGD","gene",38186,40750,NA,"+",NA,"ID=YAL041W;Name=YAL041W;gene=CDC24;Alias=CDC24,CLS4;Ontology_term=GO:0005089,GO:0007264,GO:0006033,GO:0007118,GO:0007124,GO:0007119,GO:0005634,GO:0000131,GO:0043332,GO:0005935,GO:0001403,GO:0000750,GO:0000753,GO:0030010,GO:0007096,GO:0005085,GO:0005622,GO:0007242,GO:0035023;Note=Guanine%20nucleotide%20exchange%20factor%20(GEF%20or%20GDP-release%20factor)%20for%20Cdc42p%3B%20required%20for%20polarity%20establishment%20and%20maintenance%2C%20and%20mutants%20have%20morphological%20defects%20in%20bud%20formation%20and%20shmooing;dbxref=SGD:S000000039;orf_classification=Verified","YAL041W"
"51","chr01","SGD","gene",41128,42867,NA,"-",NA,"ID=YAL040C;Name=YAL040C;gene=CLN3;Alias=CLN3,WHI1,FUN10,DAF1;Ontology_term=GO:0000079,GO:0016538,GO:0005634,GO:0000082,GO:0007033,GO:0042144,GO:0008361,GO:0000074,GO:0007049,GO:0051301;Note=G1%20cyclin%20involved%20in%20cell%20cycle%20progression%3B%20activates%20Cdc28p%20kinase%20to%20promote%20the%20G1%20to%20S%20phase%20transition%3B%20plays%20a%20role%20in%20regulating%20transcription%20of%20the%20other%20G1%20cyclins%2C%20CLN1%20and%20CLN2%3B%20regulated%20by%20phosphorylation%20and%20proteolysis;dbxref=SGD:S000000038;orf_classification=Verified","YAL040C"
"53","chr01","SGD","gene",44050,44857,NA,"-",NA,"ID=YAL039C;Name=YAL039C;gene=CYC3;Alias=CYC3;Ontology_term=GO:0004408,GO:0018063,GO:0005758,GO:0005739,GO:0005506,GO:0016829,GO:0046872;Note=Cytochrome%20c%20heme%20lyase%20(holocytochrome%20c%20synthase)%2C%20attaches%20heme%20to%20apo-cytochrome%20c%20(Cyc1p%20or%20Cyc7p)%20in%20the%20mitochondrial%20intermembrane%20space%3B%20human%20ortholog%20may%20have%20a%20role%20in%20microphthalmia%20with%20linear%20skin%20defects%20(MLS);dbxref=SGD:S000000037;orf_classification=Verified","YAL039C"
"56","chr01","SGD","gene",47078,48580,NA,"+",NA,"ID=YAL038W;Name=YAL038W;gene=CDC19;Alias=CDC19,PYK1;Ontology_term=GO:0004743,GO:0005829,GO:0006096,GO:0006090,GO:0000287,GO:0003824,GO:0016301,GO:0016740,GO:0030955,GO:0046872;Note=Pyruvate%20kinase%2C%20functions%20as%20a%20homotetramer%20in%20glycolysis%20to%20convert%20phosphoenolpyruvate%20to%20pyruvate%2C%20the%20input%20for%20aerobic%20(TCA%20cycle)%20or%20anaerobic%20(glucose%20fermentation)%20respiration;dbxref=SGD:S000000036;orf_classification=Verified","YAL038W"
"58","chr01","SGD","gene",47618,48592,NA,"-",NA,"ID=YAL037C-B;Name=YAL037C-B;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%3B%20identified%20by%20gene-trapping%2C%20microarray-based%20expression%20analysis%2C%20and%20genome-wide%20homology%20searching;dbxref=SGD:S000028592;orf_classification=Dubious","YAL037C-B"
"60","chr01","SGD","gene",48721,48813,NA,"-",NA,"ID=YAL037C-A;Name=YAL037C-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Putative%20protein%20of%20unknown%20function;dbxref=SGD:S000028732;orf_classification=Uncharacterized","YAL037C-A"
"62","chr01","SGD","gene",49325,50129,NA,"+",NA,"ID=YAL037W;Name=YAL037W;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Putative%20protein%20of%20unknown%20function;dbxref=SGD:S000000035;orf_classification=Uncharacterized","YAL037W"
"64","chr01","SGD","gene",50343,51452,NA,"-",NA,"ID=YAL036C;Name=YAL036C;gene=RBG1;Alias=RBG1,FUN11;Ontology_term=GO:0005737,GO:0005525,GO:0042254,GO:0000166,GO:0005622;Note=Member%20of%20the%20DRG%20family%20of%20GTP-binding%20proteins%3B%20interacts%20with%20translating%20ribosomes%20and%20with%20Tma46p;dbxref=SGD:S000000034;orf_classification=Verified","YAL036C"
"66","chr01","SGD","gene",51726,54698,NA,"+",NA,"ID=YAL035W;Name=YAL035W;gene=FUN12;Alias=FUN12,yIF2;Ontology_term=GO:0006413,GO:0003743,GO:0005843,GO:0003924,GO:0005739,GO:0000166,GO:0005525,GO:0005622,GO:0006412;Note=GTPase%2C%20required%20for%20general%20translation%20initiation%20by%20promoting%20Met-tRNAiMet%20binding%20to%20ribosomes%20and%20ribosomal%20subunit%20joining%3B%20homolog%20of%20bacterial%20IF2;dbxref=SGD:S000000033;orf_classification=Verified","YAL035W"
"68","chr01","SGD","gene",54753,55110,NA,"-",NA,"ID=YAL034C-B;Name=YAL034C-B;Alias=YAL035C-A;Ontology_term=GO:0003674,GO:0008150,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data;dbxref=SGD:S000002137;orf_classification=Dubious","YAL034C-B"
"70","chr01","SGD","gene",54986,55855,NA,"+",NA,"ID=YAL034W-A;Name=YAL034W-A;gene=MTW1;Alias=MTW1,NSL2,DSN3;Ontology_term=GO:0003674,GO:0007059,GO:0000922,GO:0000818,GO:0000775,GO:0005634,GO:0007049,GO:0007067,GO:0051301;Note=Essential%20component%20of%20the%20MIND%20kinetochore%20complex%20(Mtw1p%20Including%20Nnf1p-Nsl1p-Dsn1p)%20which%20joins%20kinetochore%20subunits%20contacting%20DNA%20to%20those%20contacting%20microtubules%3B%20critical%20to%20kinetochore%20assembly;dbxref=SGD:S000000032;orf_classification=Verified","YAL034W-A"
"72","chr01","SGD","gene",55975,57207,NA,"-",NA,"ID=YAL034C;Name=YAL034C;gene=FUN19;Alias=FUN19;Ontology_term=GO:0003674,GO:0008150,GO:0005575;Note=Non-essential%20protein%20of%20unknown%20function;dbxref=SGD:S000002134;orf_classification=Verified","YAL034C"
"74","chr01","SGD","gene",57958,58481,NA,"+",NA,"ID=YAL033W;Name=YAL033W;gene=POP5;Alias=POP5,FUN53;Ontology_term=GO:0006364,GO:0000172,GO:0005655,GO:0008033,GO:0004526,GO:0000171,GO:0006379,GO:0004540,GO:0005634,GO:0016787;Note=Subunit%20of%20both%20RNase%20MRP%2C%20which%20cleaves%20pre-rRNA%2C%20and%20nuclear%20RNase%20P%2C%20which%20cleaves%20tRNA%20precursors%20to%20generate%20mature%205'%20ends;dbxref=SGD:S000000031;orf_classification=Verified","YAL033W"
"76","chr01","SGD","gene",58595,59731,NA,"-",NA,"ID=YAL032C;Name=YAL032C;gene=PRP45;Alias=PRP45,FUN20;Ontology_term=GO:0016563,GO:0005634,GO:0045944,GO:0000398,GO:0005681,GO:0006397,GO:0008380;Note=Protein%20required%20for%20pre-mRNA%20splicing%3B%20associates%20with%20the%20spliceosome%20and%20interacts%20with%20splicing%20factors%20Prp22p%20and%20Prp46p%3B%20orthologous%20to%20human%20transcriptional%20coactivator%20SKIP%20and%20can%20activate%20transcription%20of%20a%20reporter%20gene;dbxref=SGD:S000000030;orf_classification=Verified","YAL032C"
"78","chr01","SGD","gene",59923,60232,NA,"+",NA,"ID=YAL031W-A;Name=YAL031W-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data;dbxref=SGD:S000028731;orf_classification=Dubious","YAL031W-A"
"80","chr01","SGD","gene",60004,62286,NA,"-",NA,"ID=YAL031C;Name=YAL031C;gene=GIP4;Alias=GIP4,FUN21;Ontology_term=GO:0007059,GO:0008599,GO:0008157,GO:0043666,GO:0005737;Note=Cytoplasmic%20Glc7-interacting%20protein%20whose%20overexpression%20relocalizes%20Glc7p%20from%20the%20nucleus%20and%20prevents%20chromosome%20segregation%3B%20potential%20Cdc28p%20substrate;dbxref=SGD:S000000029;orf_classification=Verified","YAL031C"
"82","chr01","SGD","gene",62541,63007,NA,"+",NA,"ID=YAL030W;Name=YAL030W;gene=SNC1;Alias=SNC1;Ontology_term=GO:0005484,GO:0006906,GO:0006893,GO:0006897,GO:0005802,GO:0005768,GO:0030133,GO:0031201,GO:0016020,GO:0016021,GO:0016192;Note=Vesicle%20membrane%20receptor%20protein%20(v-SNARE)%20involved%20in%20the%20fusion%20between%20Golgi-derived%20secretory%20vesicles%20with%20the%20plasma%20membrane%3B%20proposed%20to%20be%20involved%20in%20endocytosis%3B%20member%20of%20the%20synaptobrevin%2FVAMP%20family%20of%20R-type%20v-SNARE%20proteins;dbxref=SGD:S000000028;orf_classification=Verified","YAL030W"
"86","chr01","SGD","gene",63102,67545,NA,"-",NA,"ID=YAL029C;Name=YAL029C;gene=MYO4;Alias=MYO4,SHE1,FUN22;Ontology_term=GO:0048309,GO:0000146,GO:0031941,GO:0051015,GO:0031475,GO:0005933,GO:0008298,GO:0007534,GO:0005739,GO:0000166,GO:0003774,GO:0003779,GO:0005516,GO:0005524,GO:0016459;Note=One%20of%20two%20type%20V%20myosin%20motors%20(along%20with%20MYO2)%20involved%20in%20actin-based%20transport%20of%20cargos%3B%20required%20for%20mRNA%20transport%2C%20including%20ASH1%20mRNA%2C%20and%20facilitating%20the%20growth%20and%20movement%20of%20ER%20tubules%20into%20the%20growing%20bud%20along%20with%20She3p;dbxref=SGD:S000000027;orf_classification=Verified","YAL029C"
"88","chr01","SGD","gene",68180,69806,NA,"+",NA,"ID=YAL028W;Name=YAL028W;gene=FRT2;Alias=FRT2,HPH2;Ontology_term=GO:0003674,GO:0006950,GO:0005783,GO:0016020,GO:0016021;Note=Tail-anchored%20endoplasmic%20reticulum%20membrane%20protein%2C%20interacts%20with%20homolog%20Frt1p%20but%20is%20not%20a%20substrate%20of%20calcineurin%20(unlike%20Frt1p)%2C%20promotes%20growth%20in%20conditions%20of%20high%20Na%2B%2C%20alkaline%20pH%2C%20or%20cell%20wall%20stress%3B%20potential%20Cdc28p%20substrate;dbxref=SGD:S000000026;orf_classification=Verified","YAL028W"
"90","chr01","SGD","gene",70009,70794,NA,"+",NA,"ID=YAL027W;Name=YAL027W;Ontology_term=GO:0003674,GO:0008150,GO:0005634;Note=Putative%20protein%20of%20unknown%20function%3B%20green%20fluorescent%20protein%20(GFP)-fusion%20protein%20localizes%20to%20the%20nucleus%3B%20YAL027W%20is%20a%20non-essential%20gene;dbxref=SGD:S000000025;orf_classification=Uncharacterized","YAL027W"
"92","chr01","SGD","gene",70708,71145,NA,"-",NA,"ID=YAL026C-A;Name=YAL026C-A;Ontology_term=GO:0008150,GO:0003674,GO:0005575;Note=Dubious%20open%20reading%20frame%20unlikely%20to%20encode%20a%20protein%2C%20based%20on%20available%20experimental%20and%20comparative%20sequence%20data%3B%20partially%20overlaps%20the%20uncharacterized%20ORF%20YAL027W%20and%20the%20verified%20gene%20DRS2;dbxref=SGD:S000028730;orf_classification=Dubious","YAL026C-A"
"94","chr01","SGD","gene",70952,75019,NA,"-",NA,"ID=YAL026C;Name=YAL026C;gene=DRS2;Alias=DRS2,SWA3,FUN38;Ontology_term=GO:0006892,GO:0005802,GO:0045332,GO:0004012,GO:0015662,GO:0006886,GO:0006897,GO:0000028,GO:0000166,GO:0000287,GO:0005524,GO:0006810,GO:0015914,GO:0016020,GO:0016021,GO:0016787;Note=Aminophospholipid%20translocase%20(flippase)%20that%20maintains%20membrane%20lipid%20asymmetry%20in%20post-Golgi%20secretory%20vessicles%3B%20contributes%20to%20clathrin-coated%20vesicle%20formation%20and%20endocytosis%3B%20mutations%20in%20human%20homolog%20ATP8B1%20result%20in%20liver%20disease;dbxref=SGD:S000000024;orf_classification=Verified","YAL026C"
"99","chr01","SGD","gene",75543,76442,NA,"-",NA,"ID=YAL025C;Name=YAL025C;gene=MAK16;Alias=MAK16;Ontology_term=GO:0042273,GO:0005730,GO:0003674,GO:0042254,GO:0000466,GO:0000463,GO:0005634,GO:0007049;Note=Essential%20nuclear%20protein%2C%20constituent%20of%2066S%20pre-ribosomal%20particles%3B%20required%20for%20maturation%20of%2025S%20and%205.8S%20rRNAs%3B%20required%20for%20maintenance%20of%20M1%20satellite%20double-stranded%20RNA%20of%20the%20L-A%20virus;dbxref=SGD:S000000023;orf_classification=Verified","YAL025C"
"101","chr01","SGD","gene",76810,81138,NA,"-",NA,"ID=YAL024C;Name=YAL024C;gene=LTE1;Alias=LTE1,MSI2;Ontology_term=GO:0005085,GO:0007096,GO:0005933,GO:0031578,GO:0042493,GO:0016192,GO:0005622,GO:0007049,GO:0007067,GO:0007264,GO:0051056,GO:0051301;Note=Putative%20GDP%2FGTP%20exchange%20factor%20required%20for%20mitotic%20exit%20at%20low%20temperatures%3B%20acts%20as%20a%20guanine%20nucleotide%20exchange%20factor%20(GEF)%20for%20Tem1p%2C%20which%20is%20a%20key%20regulator%20of%20mitotic%20exit%3B%20physically%20associates%20with%20Ras2p-GTP;dbxref=SGD:S000000022;orf_classification=Verified","YAL024C"
"103","chr01","SGD","gene",81535,83814,NA,"-",NA,"ID=YAL023C;Name=YAL023C;gene=PMT2;Alias=PMT2,FUN25;Ontology_term=GO:0004169,GO:0005783,GO:0006493,GO:0000030,GO:0016020,GO:0016021,GO:0016740,GO:0016757;Note=Protein%20O-mannosyltransferase%2C%20transfers%20mannose%20residues%20from%20dolichyl%20phosphate-D-mannose%20to%20protein%20serine%2Fthreonine%20residues%3B%20acts%20in%20a%20complex%20with%20Pmt1p%2C%20can%20instead%20interact%20with%20Pmt5p%20in%20some%20conditions%3B%20target%20for%20new%20antifungals;dbxref=SGD:S000000021;orf_classification=Verified","YAL023C"
"105","chr01","SGD","gene",84132,85688,NA,"-",NA,"ID=YAL022C;Name=YAL022C;gene=FUN26;Alias=FUN26;Ontology_term=GO:0016020,GO:0005337,GO:0015858,GO:0005622,GO:0006810,GO:0016021;Note=Nucleoside%20transporter%20with%20broad%20nucleoside%20selectivity%3B%20localized%20to%20intracellular%20membranes;dbxref=SGD:S000000020;orf_classification=Verified","YAL022C"
"107","chr01","SGD","gene",86084,88588,NA,"-",NA,"ID=YAL021C;Name=YAL021C;gene=CCR4;Alias=CCR4,NUT21,FUN27;Ontology_term=GO:0030015,GO:0006357,GO:0005737,GO:0000289,GO:0000288,GO:0000175,GO:0007089,GO:0016593,GO:0006368,GO:0042493,GO:0000287,GO:0003723,GO:0004518,GO:0004527,GO:0004535,GO:0005634,GO:0006350,GO:0006355,GO:0016787,GO:0046872;Note=Component%20of%20the%20CCR4-NOT%20transcriptional%20complex%2C%20which%20is%20involved%20in%20regulation%20of%20gene%20expression%3B%20component%20of%20the%20major%20cytoplasmic%20deadenylase%2C%20which%20is%20involved%20in%20mRNA%20poly(A)%20tail%20shortening;dbxref=SGD:S000000019;orf_classification=Verified","YAL021C"
"109","chr01","SGD","gene",88843,89844,NA,"-",NA,"ID=YAL020C;Name=YAL020C;gene=ATS1;Alias=ATS1,KTI13,FUN28;Ontology_term=GO:0007017,GO:0003674,GO:0005737,GO:0000226,GO:0007117,GO:0006400;Note=Protein%20required%2C%20with%20Elongator%20complex%2C%20Kti11p%2C%20and%20Kti12p%2C%20for%20modification%20of%20wobble%20nucleosides%20in%20tRNA%3B%20has%20a%20potential%20role%20in%20regulatory%20interactions%20between%20microtubules%20and%20the%20cell%20cycle;dbxref=SGD:S000000018;orf_classification=Verified","YAL020C"
